size,number
790,0
640,0
65,40
735,0
310,0
710,0
635,0
15,1073
695,1
610,0
195,4
855,0
245,1
665,0
480,0
505,0
525,0
430,0
810,0
730,0
755,0
285,0
180,2
510,0
355,1
535,0
395,0
250,0
545,0
670,0
655,0
840,0
160,4
780,0
500,1
300,0
290,1
170,2
30,286
80,21
100,21
865,0
5,4703
140,3
55,76
520,0
405,0
165,2
870,0
820,0
210,3
385,1
720,0
320,2
475,1
530,0
740,0
370,0
555,0
130,8
745,0
215,1
120,11
605,0
550,0
275,0
330,0
260,0
445,0
155,6
800,0
825,0
590,0
615,0
845,0
540,0
515,0
145,3
760,0
225,0
110,12
205,1
570,0
10,2046
240,4
115,14
705,0
860,0
305,0
125,5
280,0
325,0
380,0
765,1
785,0
360,1
0,0
495,1
560,0
175,3
660,0
235,0
630,0
35,200
270,0
685,0
835,0
410,0
455,0
375,1
680,0
620,0
45,93
345,0
335,0
95,14
435,0
595,0
340,1
85,30
725,0
805,0
315,0
715,0
465,0
390,0
795,0
450,0
580,0
70,48
60,51
185,2
50,95
470,0
770,1
875,1
200,1
415,1
20,625
135,7
575,0
565,1
690,0
265,1
775,0
295,0
230,3
365,3
255,2
40,152
585,0
400,0
420,0
490,0
105,17
830,0
625,0
675,0
425,0
75,33
650,0
600,0
700,0
750,0
350,1
25,388
850,1
645,0
220,2
150,4
460,0
485,0
440,0
90,19
190,2
815,0
