Calculation of Software Quality Metrics for system: smallsql
Duplication calculation
Source: ExpressionFunctionIIF.java, LOC duplicated: 0
Source: ExpressionFunctionSpace.java, LOC duplicated: 0
Source: ExpressionFunctionReturnP1Number.java, LOC duplicated: 0
Source: IndexDescription.java, LOC duplicated: 12
Source: SSDatabaseMetaData.java, LOC duplicated: 6
Source: FileIndex.java, LOC duplicated: 0
Source: Join.java, LOC duplicated: 0
Source: CommandDelete.java, LOC duplicated: 0
Source: ExpressionFunctionPower.java, LOC duplicated: 0
Source: RowSource.java, LOC duplicated: 0
Source: SQLTokenizer.java, LOC duplicated: 0
Source: TableViewMap.java, LOC duplicated: 0
Source: ExpressionFunctionInsert.java, LOC duplicated: 0
Source: TestOther.java, LOC duplicated: 0
Source: ExpressionFunctionUCase.java, LOC duplicated: 6
Source: ExpressionFunctionPI.java, LOC duplicated: 0
Source: AllTests.java, LOC duplicated: 0
Source: NoFromResult.java, LOC duplicated: 6
Source: TestOperatoren.java, LOC duplicated: 102
Source: IndexNode.java, LOC duplicated: 0
Source: TestDataTypes.java, LOC duplicated: 12
Source: TestStatement.java, LOC duplicated: 18
Source: CommandUpdate.java, LOC duplicated: 0
Source: SSDriver.java, LOC duplicated: 0
Source: SSResultSetMetaData.java, LOC duplicated: 6
Source: ExpressionFunctionLog.java, LOC duplicated: 0
Source: TestDBMetaData.java, LOC duplicated: 0
Source: SSSavepoint.java, LOC duplicated: 0
Source: ExpressionFunctionASin.java, LOC duplicated: 0
Source: MutableNumeric.java, LOC duplicated: 12
Source: Scrollable.java, LOC duplicated: 12
Source: TableView.java, LOC duplicated: 12
Source: ExpressionFunctionLog10.java, LOC duplicated: 0
Source: IndexNodeScrollStatus.java, LOC duplicated: 0
Source: ExpressionFunctionChar.java, LOC duplicated: 0
Source: ExpressionFunctionMod.java, LOC duplicated: 0
Source: SSPreparedStatement.java, LOC duplicated: 96
Source: Index.java, LOC duplicated: 72
Source: ExpressionFunctionSoundex.java, LOC duplicated: 0
Source: ExpressionFunctionTan.java, LOC duplicated: 0
Source: DataSource.java, LOC duplicated: 0
Source: View.java, LOC duplicated: 0
Source: Utils.java, LOC duplicated: 6
Source: IndexScrollStatus.java, LOC duplicated: 24
Source: StorePage.java, LOC duplicated: 0
Source: TableViewResult.java, LOC duplicated: 0
Source: ExpressionFunctionMinute.java, LOC duplicated: 0
Source: ExpressionFunctionMonth.java, LOC duplicated: 0
Source: Language.java, LOC duplicated: 0
Source: ExpressionFunctionCharLen.java, LOC duplicated: 6
Source: ExpressionFunctionReturnInt.java, LOC duplicated: 6
Source: ExpressionName.java, LOC duplicated: 0
Source: SSStatement.java, LOC duplicated: 30
Source: CommandTable.java, LOC duplicated: 0
Source: ExpressionFunctionLocate.java, LOC duplicated: 0
Source: DataSources.java, LOC duplicated: 0
Source: ViewResult.java, LOC duplicated: 0
Source: TestJoins.java, LOC duplicated: 66
Source: TestThreads.java, LOC duplicated: 60
Source: Table.java, LOC duplicated: 36
Source: ExpressionArithmetic.java, LOC duplicated: 132
Source: TestScrollable.java, LOC duplicated: 48
Source: TableStorePage.java, LOC duplicated: 0
Source: MemoryStream.java, LOC duplicated: 0
Source: ExpressionFunctionReturnP1.java, LOC duplicated: 36
Source: ExpressionFunctionCeiling.java, LOC duplicated: 0
Source: SQLParser.java, LOC duplicated: 24
Source: ExpressionFunctionExp.java, LOC duplicated: 0
Source: ExpressionFunctionRight.java, LOC duplicated: 12
Source: ExpressionFunctionCase.java, LOC duplicated: 0
Source: ExpressionFunctionLCase.java, LOC duplicated: 6
Source: CommandCreateView.java, LOC duplicated: 0
Source: TestExceptions.java, LOC duplicated: 0
Source: TableResult.java, LOC duplicated: 0
Source: ExpressionFunctionTimestampDiff.java, LOC duplicated: 6
Source: Command.java, LOC duplicated: 6
Source: TransactionStep.java, LOC duplicated: 0
Source: SSConnection.java, LOC duplicated: 12
Source: StorePageLink.java, LOC duplicated: 0
Source: MemoryResult.java, LOC duplicated: 6
Source: TestOrderBy.java, LOC duplicated: 108
Source: TestExceptionMethods.java, LOC duplicated: 12
Source: Identity.java, LOC duplicated: 6
Source: TestResultSet.java, LOC duplicated: 48
Source: IndexDescriptions.java, LOC duplicated: 0
Source: ExpressionFunctionDayOfMonth.java, LOC duplicated: 0
Source: SmallSQLException.java, LOC duplicated: 0
Source: ForeignKeys.java, LOC duplicated: 0
Source: StoreNull.java, LOC duplicated: 0
Source: ExpressionFunctionSin.java, LOC duplicated: 0
Source: Distinct.java, LOC duplicated: 24
Source: ExpressionFunctionTimestampAdd.java, LOC duplicated: 0
Source: Where.java, LOC duplicated: 24
Source: Database.java, LOC duplicated: 48
Source: DateTime.java, LOC duplicated: 90
Source: TableStorePageInsert.java, LOC duplicated: 0
Source: BasicTestCase.java, LOC duplicated: 6
Source: CommandSelect.java, LOC duplicated: 30
Source: Language_it.java, LOC duplicated: 6
Source: LongList.java, LOC duplicated: 0
Source: ExpressionFunctionReturnP1StringAndBinary.java, LOC duplicated: 24
Source: SortedResult.java, LOC duplicated: 30
Source: Mutable.java, LOC duplicated: 0
Source: LongTreeListEnum.java, LOC duplicated: 0
Source: SSResultSet.java, LOC duplicated: 84
Source: ExpressionInSelect.java, LOC duplicated: 0
Source: Language_en.java, LOC duplicated: 0
Source: CreateFile.java, LOC duplicated: 0
Source: MutableInteger.java, LOC duplicated: 12
Source: ExpressionFunctionReplace.java, LOC duplicated: 6
Source: ExpressionFunctionRTrim.java, LOC duplicated: 12
Source: Expression.java, LOC duplicated: 0
Source: LongTreeList.java, LOC duplicated: 24
Source: CommandInsert.java, LOC duplicated: 12
Source: ExpressionFunctionBitLen.java, LOC duplicated: 6
Source: JoinScroll.java, LOC duplicated: 12
Source: CommandLine.java, LOC duplicated: 0
Source: ExpressionFunctionConvert.java, LOC duplicated: 12
Source: ExpressionFunctionLeft.java, LOC duplicated: 12
Source: CommandSet.java, LOC duplicated: 0
Source: StoreNoCurrentRow.java, LOC duplicated: 0
Source: ExpressionFunctionTruncate.java, LOC duplicated: 24
Source: ExpressionFunctionATan2.java, LOC duplicated: 0
Source: ExpressionFunctionRadians.java, LOC duplicated: 0
Source: Strings.java, LOC duplicated: 0
Source: ExpressionFunctionAbs.java, LOC duplicated: 6
Source: MutableLong.java, LOC duplicated: 18
Source: MutableFloat.java, LOC duplicated: 18
Source: CommandCreateDatabase.java, LOC duplicated: 0
Source: ExpressionFunctionOctetLen.java, LOC duplicated: 6
Source: ExpressionFunctionACos.java, LOC duplicated: 0
Source: ExpressionFunctionLength.java, LOC duplicated: 0
Source: Column.java, LOC duplicated: 0
Source: LongLongList.java, LOC duplicated: 0
Source: Store.java, LOC duplicated: 0
Source: ExpressionFunctionAscii.java, LOC duplicated: 0
Source: ExpressionFunctionRand.java, LOC duplicated: 0
Source: ExpressionFunctionSubstring.java, LOC duplicated: 6
Source: StoreImpl.java, LOC duplicated: 186
Source: Money.java, LOC duplicated: 0
Source: TestFunctions.java, LOC duplicated: 12
Source: Lobs.java, LOC duplicated: 0
Source: ExpressionFunctionHour.java, LOC duplicated: 0
Source: ExpressionFunctionDayOfYear.java, LOC duplicated: 0
